kaggle_dataset_names,gcs_path,kaggle_dataset
rounakbanik/the-movies-dataset,gs://kds-f64a95a456c639d8c7e55924d3cc493c5fb18c684e0de2ffed3841d9,the-movies-dataset
uciml/iris,gs://kds-b5f1dbe66dca27a2c5f701ae3d8393b9157ca6b9d9e142226f4bcea2,iris
neuromusic/avocado-prices,gs://kds-a0daf5002aa2902919e80cbcb796de01c96392663d01c3da0bc485d3,avocado-prices
uciml/breast-cancer-wisconsin-data,gs://kds-d25e547d0425dc7141288ac1a6af13be1b342d3cdcd8fac16bacc04a,breast-cancer-wisconsin-data
abcsds/pokemon,gs://kds-8a69ba0841f34dabdd16da0eb5e117582d89f14e0956ac3e04d02726,pokemon
uciml/pima-indians-diabetes-database,gs://kds-bfbc7feffca02170b6dd7a2c2b70be1fa7b4c07b511dc73a63d51ea5,pima-indians-diabetes-database
shivamb/netflix-shows,gs://kds-fec413ad7189c07f47c5f0648f02f4817442f0d1d87cb982225e7ba4,netflix-shows
zalando-research/fashionmnist,gs://kds-53e050b4f48f1bae822d38b99dc5faa7888586d2cae0e0277f1a62f6,fashionmnist
moltean/fruits,gs://kds-9575b356b9fea2430559388e3836d927d25c77a6a9c0e15ace7e4829,fruits
worldbank/world-development-indicators,gs://kds-4482df9fcf10bf1cffc40377bce359b9817b7b7681f7d3cc51b2d734,world-development-indicators
mohansacharya/graduate-admissions,gs://kds-8872ab200149dc743500ffde4ea4830c42963cf698b5e291539fce29,graduate-admissions
spscientist/students-performance-in-exams,gs://kds-bee4d0fb250c27b9c267bda26e0f5cb3b4b5db612b119f882ddbbb6a,students-performance-in-exams
snap/amazon-fine-food-reviews,gs://kds-6876fb9c70d992161c43e7f1c609f717cb6aa8bc516444c608d4b69a,amazon-fine-food-reviews
